"","name","module","connectivity","participation","role","X0.228752265877247"
"1016","1016",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1017","1017",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1032","1032",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1033","1033",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1036","1036",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1045","1045",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1046","1046",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1051","1051",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1054","1054",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1055","1055",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1058","1058",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1064","1064",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1066","1066",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1077","1077",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1078","1078",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1080","1080",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1081","1081",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1089","1089",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"109","109",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1100","1100",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1163","1163",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1169","1169",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1170","1170",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1174","1174",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1184","1184",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1185","1185",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1193","1193",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1207","1207",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1219","1219",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1223","1223",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1229","1229",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"123","123",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1235","1235",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1239","1239",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1252","1252",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1253","1253",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1256","1256",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1259","1259",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1265","1265",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1276","1276",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1280","1280",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1286","1286",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1287","1287",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1291","1291",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1292","1292",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1295","1295",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1297","1297",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1302","1302",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1310","1310",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1316","1316",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1317","1317",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1321","1321",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
"1322","1322",0,-0.0744136209113329,0,"Ultra peripheral",0.228752265877247
